REGION,Key,Area,CENSUS_2010_TOTAL_POPULATION,CENSUS_2010_STATE_DENSITY,CENSUS_2010_RANK,2020_STATE_DENSITY,STATE_LAND_AREA,Major_City_CBSA_Title,CBSA Code,CBSA_Major_City_Population_2010,CBSA_Major_City_max_weighted_density,CBSA_Major_City_mean_pop_density,Covid_Positive_3_31,Covid_Negative_3_31,Covid_Pending_3_31,Covid_Hospitalized_3_31,Covid_Death_3_31,Covid_Positive_4_4,Data_Grade_4_4,Covid_Score_4_4,Covid_Negative,Covid_Pending_4_4,Covid_Hospitalized_Currently_4_4,Covid_Hospitalized_Cumulative_4_4,Covid_ICU_Currently_4_4,Covid_ICU_Cumulative_4_4,Covid_Ventilator_Currently_4_4,Covid_Ventilator_Cumulative_4_4,Covid_Recovered,Covid_Death_4_4,Covid_Hospitalized_4_4,Covid_Total_Test_Results,Covid_posNeg_4_4,fips,FLUVIEW_TOTAL_INFLUENZA_DEATHS_Season_2018,FLUVIEW_TOTAL_PNEUMONIA_DEATHS_Season_2018,Kaiser_Total_Hospital_Beds,Kaiser_Beds_per_1000_Population,Kaiser_Total_CHCs,Kaiser_CHC_Service_Delivery_Sites,BRFSS_Asthma_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Asthma,BRFSS_Age_55_64_Asthma_Rate,BRFSS_Age_65_plus_Asthma_Rate,BRFSS_COPD_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Lung_Disease,BRFSS_Age_55_64_COPD_Rate,BRFSS_Age_65_plus_COPD_Rate,BRFSS_Heart_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Heart_Disease,BRFSS_Age_55_64_Heart_Disease_Rate,BRFSS_Age_65_plus_Heart_Disease_Rate,BRFSS_2017_High_Cholestoral_Prevalance,BRFSS_2017_High_Blood_Pressure_Prevalance,BRFSS_Diabetes_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Metabolic_Disorders,BRFSS_Age_55_64_Diabetes_Rate,BRFSS_Age_65_plus_Diabetes_Rate,BRFSS_Obesity BMI Prevalance,Fluview_US_FLU_Hospitalization_Rate_Obesity,BRFSS_Age_55_64_Obesity_Rate,BRFSS_Age_65_plus_Obesity_Rate,BRFSS_Kidney_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Kidney_Disease,BRFSS_Age_55_64_Kidney_Disease_Rate,BRFSS_Age_65_plus__Kidney_Disease_Rate,BRFSS_Other_Cancer_Prevalance,BRFSS_55_64_Other_Cancer_Rate,BRFSS_65_plus_Other_Cancer_Rate,Census_Population_Over_60,Census_Population_Over_60_Employment_Rate,Census_Total_Population_Over_16_Estimate,Census_Total_Workers_Over_16_Estimate,COMMUTE_Census_Worker_Drive_To_Work_Rate,COMMUTE_Census_Worker_Carpool_To_Work_Rate,COMMUTE_Census_Worker_Public_Transportation_Rate,COMMUTE_Census_Worker_Walk_Rate,COMMUTE_Census_Worker_Taxicab_Motorcycle_Bicycle_Other_Rate,COMMUTE_Census_Work_At_Home_Rate,HOUSEHOLD_UNITS,UNITS_IN_STRUCTURE_5_to_9_apartments,UNITS_IN_STRUCTURE_10_or_more_apartments,OCCUPANTS_PER_ROOM_1.0_To_1.50,OCCUPANTS_PER_ROOM_1.51_Plus,FAMILY_HOUSEHOLDS_Householder_65_Plus,NONFAMILY_Householder_Living_Alone_65_Plus,INDUSTRY_Agriculture_Forestry_Fishing_Hunting,INDUSTRY_Construction,INDUSTRY_Manufacturing,INDUSTRY_Wholesale_Trade,INDUSTRY_Retail_Trade,INDUSTRY_Transportation_Warehousing,INDUSTRY_Professional_Scientific_Technical,INDUSTRY_Management_Companies_Enterprises,INDUSTRY_Administrative_Support _Waste_Management,INDUSTRY_Educational_Services,INDUSTRY_Health_Care_Social_Assistance,INDUSTRY_Arts_Entertainment_Recreation,INDUSTRY_Accommodation_Food_Services,Occupation_Total_Management_Business_Science_Arts,Occupation_Total_Management_Business_Financial,OCCUPATION_Management,OCCUPATION_Business _Financial_Operations,Occupation_Total_Computer_Engineering_Science,OCCUPATION_Computer_Mathematical,OCCUPATION_Architecture_Engineering,OCCUPATION_Life_Physical_Social_Science,Occupation_Total_Education_Legal_Community_Service_Arts_Media,OCCUPATION_Community_Social Service,OCCUPATION_Legal,OCCUPATION_Educational_Instruction_Library,OCCUPATION_Arts_Design_Entertainment_Sports_Media,Occupation_Total_Healthcare_Practitioners_Technical,OCCUPATION_Health_Diagnosing_Treating_Practitioners_Other_Technical,OCCUPATION_Health_Technologists,Occupation_Total_Service,OCCUPATION_Healthcare_Support,Occupation_Total_Protective_Service,OCCUPATION_Firefighter_Other Protective Service,OCCUPATION_Law_Enforcement,OCCUPATION_Food_Preparation_Service,OCCUPATION_Building_Grounds_Cleaning _Maintenance,OCCUPATION_Personal care_Service,Occupation_Total_Sales_Office,OCCUPATION_Sales,OCCUPATION_Office,Occupation_Total_Natural_Resources_Construction_Maintenance,OCCUPATION_Farming_Fishing_Forestry,OCCUPATION_Construction_Extraction,OCCUPATION_Installation_Maintenance_Repair,Occupation_Total_Production_Transportation_Material_Moving,OCCUPATION_Production,OCCUPATION_Transportation,OCCUPATION_Material_Moving
Georgia,11,South,9687653,168.4,20,288,40861,"Atlanta-Sandy Springs-Marietta, GA Metro Area",12060,5268860,2173,1183.438462,3929,12252,NA,833,111,6160,A,4,20134,NA,NA,1239,NA,NA,NA,NA,NA,201,1239,26294,26294,13,113,4024,25114,2.39,35,265,0.089,0.194,0.009523,0.007387,0.073,0.295,0.009125,0.010658,0.046,0.513,0.003036,0.006118,0.311,0.331,0.126,0.448,0.025326,0.036666,0.325,0.361,0.118625,0.0962,0.032,0.216,0.001536,0.002688,0.062,0.005952,0.009672,2070692,0.28,8128931,4847726,0.79,0.09,0.02,0.01,0.02,0.06,3803012,157575,423375,65313,21011,388993,364633,47629,337361,533153,125871,551765,306023,370718,7610,240814,437837,577684,84814,382138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,12,West,1360301,211.8,15,220,6423,"Honolulu, HI Metro Area",26180,953207,11548.2,11548.2,204,8471,11,12,0,319,A,4,11959,NA,NA,18,NA,6,NA,NA,78,3,18,12278,12278,15,38,922,2749,1.94,14,73,0.093,0.194,0.009579,0.00744,0.041,0.295,0.002419,0.003321,0.031,0.513,0.00124,0.002604,0.318,0.306,0.115,0.448,0.020355,0.024035,0.249,0.361,0.065985,0.043326,0.029,0.216,0.000986,0.001769,0.059,0.004484,0.008201,355338,0.32,1096009,666501,0.67,0.15,0.06,0.03,0.03,0.06,455309,27233,99232,23115,16175,63790,48941,8862,49841,20416,12105,76567,38344,33172,379,36930,64014,81211,17928,97642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,13,West,1567582,19,46,22,82643,"Pocatello, ID Metro Area",38540,90656,1803.9,1574,415,5297,NA,45,7,1013,A,4,7857,NA,NA,62,NA,8,NA,NA,NA,10,62,8870,8870,16,66,627,3396,1.94,14,115,0.087,0.194,0.00957,0.006438,0.057,0.295,0.005586,0.005928,0.037,0.513,0.001554,0.004366,0.308,0.298,0.102,0.448,0.015606,0.022236,0.284,0.361,0.090312,0.08236,0.031,0.216,0.001178,0.002077,0.076,0.00684,0.0133,382826,0.26,1337554,791148,0.8,0.09,0.01,0.03,0.02,0.06,640270,14678,37825,12548,5391,85043,66304,38895,66078,82174,22871,97014,30085,51516,572,30997,71367,106586,14935,55310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,14,Midwest,12830632,231.1,14,228,55519,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",16980,9461105,8613.4,2643,5994,29231,NA,NA,99,10357,A,4,43224,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,53581,53581,17,205,6277,32066,2.52,44,402,0.087,0.194,0.007743,0.006873,0.066,0.295,0.005214,0.009504,0.034,0.513,0.001666,0.003468,0.325,0.323,0.1,0.448,0.0176,0.0219,0.318,0.361,0.115434,0.10335,0.028,0.216,0.001204,0.001792,0.069,0.006348,0.011385,2804799,0.29,10040920,6174906,0.73,0.08,0.09,0.03,0.02,0.05,4864864,309772,695871,75949,34306,522493,558371,58436,340773,741270,177032,662419,389998,483442,14243,262446,599098,861426,127667,443623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,15,Midwest,6483802,181,18,188,35826,"Lafayette, IN Metro Area",29140,201789,3227.7,1841.7,2159,11214,NA,NA,49,3953,B,3,15847,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,19800,19800,18,179,4065,18156,2.71,25,197,0.1,0.194,0.0103,0.0092,0.09,0.295,0.01368,0.01413,0.05,0.513,0.00325,0.0067,0.341,0.352,0.125,0.448,0.024875,0.03225,0.341,0.361,0.128216,0.111166,0.034,0.216,0.001632,0.002686,0.073,0.007446,0.01241,1477824,0.29,5205600,3171334,0.83,0.09,0.01,0.02,0.02,0.04,2599169,121149,201428,32546,14157,289803,289121,34348,196142,629324,76288,353805,152125,155474,3714,110250,289000,446088,55763,225028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,16,Midwest,3046355,54.5,38,57,55857,"Iowa City, IA Metro Area",26980,152586,2707.7,2197.585714,497,6888,NA,94,7,786,A,4,9454,NA,85,153,NA,NA,NA,NA,188,14,153,10240,10240,19,98,1884,9423,2.99,14,80,0.079,0.194,0.005925,0.005451,0.058,0.295,0.005626,0.006844,0.044,0.513,0.002244,0.005456,0.341,0.315,0.1,0.448,0.0138,0.0213,0.353,0.361,0.138729,0.12002,0.024,0.216,0.000696,0.00132,0.071,0.006461,0.012141,743615,0.32,2464341,1587362,0.82,0.08,0.01,0.03,0.01,0.05,1267873,41355,117875,14676,5643,156259,154589,53390,99730,244422,44363,193329,69971,67083,1422,45942,163679,232908,28162,96329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,17,Midwest,2853118,34.9,42,36,81759,"Lawrence, KS Metro Area",29940,110826,2795.5,2105.675,428,4996,NA,79,9,698,B,3,6880,NA,NA,172,NA,NA,NA,NA,NA,21,172,7578,7578,20,97,1623,9659,3.32,18,91,0.098,0.194,0.009506,0.008428,0.067,0.295,0.007839,0.00871,0.044,0.513,0.003564,0.005104,0.341,0.328,0.116,0.448,0.019024,0.028536,0.344,0.361,0.13588,0.10664,0.027,0.216,0.001269,0.001593,0.071,0.006745,0.013206,645949,0.31,2229203,1418803,0.82,0.09,0.01,0.02,0.01,0.05,1133408,43958,95301,15223,9357,131651,128282,39276,93468,177169,40496,148821,63133,85550,2107,52039,154460,199777,25649,90233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,18,South,4339367,109.9,24,114,39486,"Lexington-Fayette, KY Metro Area",30460,472099,2918.6,1862.98,480,6330,NA,NA,11,831,A,4,14741,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,15572,15572,21,166,3603,14329,3.21,24,324,0.115,0.194,0.01426,0.01219,0.121,0.295,0.026862,0.024563,0.063,0.513,0.006111,0.009198,0.381,0.394,0.137,0.448,0.030003,0.037812,0.366,0.361,0.155184,0.112728,0.042,0.216,0.00231,0.003654,0.081,0.009396,0.01539,1026703,0.24,3492675,1952946,0.83,0.09,0.01,0.02,0.01,0.04,1732713,75088,109616,24900,8193,203832,191416,29283,121345,278003,45842,228334,106626,95521,3190,80628,191104,284525,30238,142972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,19,South,4533372,104.9,26,108,43204,"New Orleans-Metairie-Kenner, LA Metro Area",35380,1167764,4370.2,1640.7375,5237,33730,NA,1355,239,12496,A,4,46002,NA,1726,NA,NA,NA,571,NA,NA,409,NA,58498,58498,22,64,1900,15272,3.28,34,287,0.089,0.194,0.009434,0.005785,0.099,0.295,0.014058,0.015246,0.06,0.513,0.00582,0.0096,0.376,0.39,0.141,0.448,0.032007,0.038211,0.368,0.361,0.147936,0.117024,0.038,0.216,0.002432,0.002964,0.068,0.005916,0.011764,1019862,0.26,3579169,1978312,0.83,0.09,0.01,0.02,0.02,0.03,1737220,46408,122420,29416,9101,183417,190943,22047,166987,155608,51297,228123,88707,114457,853,78345,187626,295157,54898,166213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,20,Northeast,1328361,43.1,40,44,30843,"Lewiston-Auburn, ME Metro Area",30340,107702,1838.6,1379.033333,303,6088,NA,57,5,456,A,4,6088,NA,NA,83,NA,NA,NA,NA,140,10,83,6544,6544,23,52,1187,3400,2.54,18,156,0.123,0.194,0.013284,0.011931,0.081,0.295,0.009234,0.010611,0.052,0.513,0.002964,0.006292,0.374,0.348,0.106,0.448,0.014628,0.021306,0.304,0.361,0.09272,0.082688,0.03,0.216,0.00108,0.00189,0.084,0.0084,0.014448,384322,0.3,1105382,664351,0.78,0.1,0.01,0.04,0.02,0.06,570307,26811,35591,4930,2630,76195,78602,16801,46978,58267,13015,88877,23879,39799,673,23861,68407,119023,13218,44900,253718,98644,67770,30874,33952,15076,11356,7520,75180,14649,5626,43198,11707,45942,31081,14861,124578,25767,10975,5587,5388,39207,29464,19165,145515,64185,81330,70310,9722,37048,23540,84419,37558,24942,21919
Maryland,21,South,5773552,594.8,7,627,9707,"Baltimore-Towson, MD Metro Area",12580,2710489,5435.7,2608.366667,1660,14868,NA,429,18,3125,A,4,22485,NA,NA,821,NA,NA,NA,NA,159,53,821,25610,25610,24,100,3141,11577,1.92,17,129,0.093,0.194,0.009393,0.006696,0.057,0.295,0.004902,0.006726,0.041,0.513,0.002501,0.00451,0.325,0.324,0.12,0.448,0.02352,0.02808,0.309,0.361,0.109386,0.086211,0.031,0.216,0.001209,0.00217,0.07,0.0063,0.01281,1324920,0.33,4754654,3034807,0.74,0.09,0.08,0.02,0.02,0.05,2215935,108482,380998,32388,14503,240670,235815,13260,220424,138126,49239,289973,129690,340326,4095,136420,305497,430750,65977,200593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,22,Northeast,6547629,839.4,5,894,7800,"Boston-Cambridge-Quincy, MA-NH Metro Area",14460,4552402,7980.1,3230.88,6620,40315,NA,562,89,11736,B,3,57064,NA,NA,1068,NA,NA,NA,NA,NA,216,1068,68800,68800,25,180,3993,15649,2.27,39,276,0.102,0.194,0.008364,0.009894,0.051,0.295,0.00306,0.005712,0.035,0.513,0.001505,0.00322,0.325,0.286,0.086,0.448,0.01032,0.01634,0.257,0.361,0.076329,0.066563,0.03,0.216,0.00111,0.00174,0.068,0.00544,0.012376,1588116,0.33,5633413,3554798,0.7,0.07,0.1,0.05,0.02,0.05,2624294,158161,426667,35790,19139,290387,315036,13200,203961,310373,77733,360781,123573,378941,7029,135630,428829,600557,73438,242501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,23,Midwest,9883640,174.8,19,178,56539,"Detroit-Warren-Livonia, MI Metro Area",19820,4296250,3800.4,2051.766667,7615,11893,NA,NA,259,14225,B,3,11893,NA,NA,NA,NA,NA,NA,NA,NA,540,NA,26118,26118,26,238,5350,24949,2.5,38,302,0.112,0.194,0.01232,0.009856,0.086,0.295,0.012298,0.012126,0.05,0.513,0.00345,0.0066,0.351,0.347,0.117,0.448,0.021762,0.027144,0.33,0.361,0.12441,0.10659,0.035,0.216,0.001715,0.00266,0.077,0.008393,0.014322,2421416,0.25,7986376,4611616,0.82,0.09,0.01,0.02,0.01,0.04,3957466,176190,360828,47088,19168,472713,479452,45250,261657,885248,105681,500757,175546,270588,6909,172336,394790,699542,95544,363562,1717417,672676,441138,231538,306911,131453,137887,37571,431981,71479,40624,237337,82541,305849,209260,96589,839208,175515,75517,39173,36344,286529,178031,123616,987180,458216,528964,368162,24279,209211,134672,796489,433413,166081,196995
Minnesota,24,Midwest,5303925,66.6,33,72,79627,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",33460,3279833,3383.4,1900.84,629,19151,NA,112,12,865,A,4,24558,NA,95,180,42,69,NA,NA,440,24,180,25423,25423,27,94,2764,13895,2.48,16,87,0.083,0.194,0.00747,0.005893,0.044,0.295,0.002684,0.004048,0.034,0.513,0.0017,0.003366,0.29,0.266,0.089,0.448,0.011125,0.017266,0.301,0.361,0.100534,0.0903,0.024,0.216,0.000624,0.001368,0.064,0.005376,0.01056,1243961,0.31,4395381,2920543,0.78,0.08,0.04,0.03,0.02,0.06,2194452,49857,368326,35384,15662,256994,244096,59404,171645,389544,82125,332415,123057,192149,7797,90552,270056,495555,64291,176640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,25,South,2967297,63.2,34,64,46923,"Jackson, MS Metro Area",27140,539057,1277.9,1015.25,937,3537,NA,211,20,1455,B,3,5133,NA,NA,436,NA,NA,NA,NA,NA,35,436,6588,6588,28,48,2227,12071,4.05,20,227,0.097,0.194,0.010088,0.010476,0.097,0.295,0.01552,0.016005,0.053,0.513,0.004611,0.006784,0.377,0.408,0.144,0.448,0.032112,0.044784,0.395,0.361,0.17459,0.12956,0.025,0.216,0.000975,0.001275,0.071,0.007881,0.011289,667073,0.24,2296728,1207063,0.86,0.09,0,0.01,0.01,0.03,1108630,46834,51223,18372,8199,127066,127945,20037,77365,161967,29981,145942,63838,43423,820,43052,121281,189362,31322,86252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,26,Midwest,5988927,87.1,30,90,68742,"Lansing-East Lansing, MI Metro Area",29620,464036,3222.2,1800.055556,1327,14614,NA,NA,14,2291,A,4,22614,NA,413,NA,NA,NA,NA,NA,NA,24,NA,24905,24905,29,132,3392,18749,3.06,29,270,0.094,0.194,0.010434,0.007144,0.091,0.295,0.011739,0.013559,0.051,0.513,0.003774,0.006222,0.343,0.32,0.115,0.448,0.018745,0.026565,0.35,0.361,0.1323,0.10955,0.025,0.216,0.000875,0.001475,0.073,0.006351,0.012775,1448367,0.27,4797181,2873163,0.82,0.09,0.01,0.02,0.01,0.05,2434806,95255,192972,33360,13446,287644,282802,45611,193942,333791,75144,333328,136153,177969,5319,107362,269670,431430,55748,209239,1099527,440394,280201,160193,159590,89357,42793,27440,305081,51968,29745,176913,46455,194462,124410,70052,493787,92286,56093,29591,26502,166666,100734,78008,643014,290457,352557,254608,18121,148126,88361,430663,196507,112941,121215
Montana,27,West,989415,6.8,50,7,145546,"Kansas City, MO-KS Metro Area",28140,2035334,2326.1,1599.383333,184,4234,NA,14,4,265,A,4,5912,NA,NA,24,NA,NA,NA,NA,NA,5,24,6177,6177,30,36,510,3542,3.34,14,65,0.1,0.194,0.01,0.0075,0.06,0.295,0.00612,0.00684,0.042,0.513,0.00273,0.004326,0.289,0.29,0.094,0.448,0.011374,0.017202,0.269,0.361,0.090384,0.064829,0.02,0.216,0.00052,8.00E-04,0.079,0.008611,0.014141,279971,0.31,843546,511597,0.75,0.09,0.01,0.06,0.02,0.07,431421,12474,27821,6185,1775,59493,52059,26056,36751,28981,10743,59755,25271,29366,342,15954,43420,75593,12029,50240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,28,Midwest,1826341,23.8,45,25,76824,"Lincoln, NE Metro Area",30700,302157,3748,3748,172,2931,8,NA,3,321,A,4,5058,10,NA,NA,NA,NA,NA,NA,NA,6,NA,5379,5379,31,87,1119,6842,3.55,7,45,0.089,0.194,0.008455,0.007209,0.063,0.295,0.00567,0.008127,0.038,0.513,0.00209,0.00418,0.319,0.306,0.097,0.448,0.016005,0.019594,0.341,0.361,0.142879,0.110484,0.027,0.216,0.001161,0.001431,0.071,0.006745,0.012496,423109,0.35,1477589,980815,0.82,0.09,0.01,0.03,0.01,0.05,765490,27869,90570,9647,3929,86718,90667,42566,72159,96538,25795,108838,50372,53138,1573,32763,96914,149408,15416,60083,381088,159618,108416,51202,52453,29303,14610,8540,109861,18608,8583,67738,14932,59156,42728,16428,165496,32164,16181,7310,8871,53374,32205,31572,209792,95089,114703,101231,14778,52608,33845,141740,67421,39859,34460
Nevada,29,West,2700551,24.6,44,29,109781,"Las Vegas-Paradise, NV Metro Area",29820,1951269,6527.2,4166.35,1113,10681,NA,NA,17,1742,A,4,14421,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,16163,16163,32,43,1456,6493,2.14,7,45,0.08,0.194,0.00904,0.00496,0.073,0.295,0.007592,0.011242,0.043,0.513,0.002709,0.004644,0.331,0.327,0.108,0.448,0.014688,0.027108,0.295,0.361,0.092335,0.082895,0.04,0.216,0.00252,0.00364,0.064,0.005696,0.011008,661507,0.27,2385543,1418382,0.78,0.11,0.03,0.02,0.02,0.04,1129810,81826,148686,30758,15148,125090,113980,6993,109882,67616,30177,161963,83066,79429,3069,79953,93774,141295,127099,212268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,30,Northeast,1316470,147,23,153,8953,"Manchester-Nashua, NH Metro Area",31700,400721,2855.8,2855.8,314,5413,65,45,3,540,B,3,6965,94,NA,80,NA,NA,NA,NA,144,7,80,7505,7505,33,47,704,2783,2.06,10,43,0.118,0.194,0.012272,0.009558,0.08,0.295,0.00872,0.01048,0.038,0.513,0.0019,0.00399,0.329,0.3,0.103,0.448,0.01442,0.019776,0.296,0.361,0.088504,0.083768,0.025,0.216,0.00075,0.0013,0.079,0.008137,0.013983,346662,0.34,1112869,712442,0.81,0.07,0.01,0.03,0.02,0.07,531212,24308,56011,6166,2028,68433,60736,5037,49619,92892,17065,93598,21437,53800,482,31276,71326,105325,12182,52810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,31,Northeast,8791894,1195.5,2,1215,7354,"Trenton-Ewing, NJ Metro Area",45940,366513,5864.6,3422.88,18696,27077,NA,NA,267,34124,A,4,41232,NA,NA,NA,NA,NA,NA,NA,NA,846,NA,75356,75356,34,146,3951,20901,2.35,23,129,0.084,0.194,0.008316,0.006384,0.056,0.295,0.005432,0.005936,0.037,0.513,0.002072,0.003293,0.346,0.33,0.108,0.448,0.01674,0.027648,0.257,0.361,0.081726,0.066306,0.031,0.216,0.001581,0.001767,0.071,0.006532,0.013561,2022272,0.33,7080172,4386693,0.71,0.08,0.12,0.03,0.02,0.05,3249567,153191,538871,68461,37355,386263,360379,12540,272033,359406,151778,493889,243283,420861,7398,177570,460200,614270,103856,253225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,32,West,2059179,17,47,17,121298,"Albuquerque, NM Metro Area",10740,887077,3518.6,1975.7,281,12246,NA,22,4,495,A,4,15137,NA,41,NA,NA,NA,18,NA,26,10,NA,15632,15632,35,63,1050,3811,1.82,17,212,0.099,0.194,0.010989,0.011286,0.063,0.295,0.006741,0.008064,0.034,0.513,0.00187,0.003026,0.314,0.305,0.125,0.448,0.0225,0.0295,0.323,0.361,0.109174,0.080427,0.03,0.216,0.00147,0.00186,0.064,0.005312,0.00928,504653,0.24,1639138,865888,0.79,0.11,0.01,0.02,0.02,0.05,794093,20258,52088,18165,10114,98774,97771,18548,64495,35268,15860,100817,27560,67675,772,39860,87662,123367,20902,77991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,33,Northeast,19378102,411.2,9,413,47126,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",35620,18897109,31251.4,4815.95,75795,129391,NA,15904,1550,113704,A,4,169917,NA,15905,26383,4126,NA,NA,NA,10478,3565,26383,283621,283621,36,280,7895,51927,2.66,62,760,0.101,0.194,0.009797,0.009595,0.058,0.295,0.005278,0.00638,0.038,0.513,0.001862,0.00399,0.326,0.294,0.11,0.448,0.01969,0.02651,0.276,0.361,0.08556,0.07452,0.027,0.216,0.000972,0.001458,0.068,0.006528,0.012036,4480458,0.29,15709161,9287627,0.53,0.06,0.28,0.06,0.02,0.05,7367015,387636,2164884,234654,143409,775833,891304,46080,545896,551379,205014,941072,493038,797523,11898,357088,1068001,1579463,241556,664140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,34,South,9535483,196.1,17,218,148618,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",16740,1758038,1881.3,1223.171429,1498,21608,NA,157,8,2402,A,4,36371,NA,271,259,NA,NA,NA,NA,NA,24,259,38773,38773,37,272,5566,21549,2.08,40,264,0.094,0.194,0.01034,0.00799,0.081,0.295,0.011421,0.011502,0.057,0.513,0.004674,0.009063,0.355,0.348,0.125,0.448,0.024375,0.03225,0.33,0.361,0.13299,0.09108,0.032,0.216,0.001472,0.002336,0.07,0.00644,0.01204,2353499,0.27,8154786,4768759,0.81,0.09,0.01,0.02,0.01,0.06,4011462,168613,359221,69809,25269,469303,436730,61258,334687,596739,113365,552903,189907,328909,6907,206120,437254,665197,94145,382831,1868589,760621,497228,263393,285662,158525,79814,47323,517290,93555,43103,295184,85448,305016,195597,109419,846977,143121,94398,47338,47060,284450,186718,138290,1000416,510265,490151,439193,32455,242966,163772,715663,342165,181757,191741
