GIDTR,State,State_name,County,County_name,Tract,Tot_Housing_Units_CEN_2010,Tot_Housing_Units_ACS_12_16,Tot_Housing_Units_ACSMOE_12_16,Tot_Occp_Units_CEN_2010,Tot_Occp_Units_ACS_12_16,Tot_Occp_Units_ACSMOE_12_16,Tot_Vacant_Units_CEN_2010,Tot_Vacant_Units_ACS_12_16,Tot_Vacant_Units_ACSMOE_12_16,Renter_Occp_HU_CEN_2010,Renter_Occp_HU_ACS_12_16,Renter_Occp_HU_ACSMOE_12_16,Owner_Occp_HU_CEN_2010,Owner_Occp_HU_ACS_12_16,Owner_Occp_HU_ACSMOE_12_16,Single_Unit_ACS_12_16,Single_Unit_ACSMOE_12_16,MLT_U2_9_STRC_ACS_12_16,MLT_U2_9_STRC_ACSMOE_12_16,MLT_U10p_ACS_12_16,MLT_U10p_ACSMOE_12_16,Mobile_Homes_ACS_12_16,Mobile_Homes_ACSMOE_12_16,Crowd_Occp_U_ACS_12_16,Crowd_Occp_U_ACSMOE_12_16,Occp_U_NO_PH_SRVC_ACS_12_16,Occp_U_NO_PH_SRVC_ACSMOE_12_16,No_Plumb_ACS_12_16,No_Plumb_ACSMOE_12_16,Recent_Built_HU_ACS_12_16,Recent_Built_HU_ACSMOE_12_16,Med_House_Value_ACS_12_16,Med_House_Value_ACSMOE_12_16,Aggr_House_Value_ACS_12_16,Aggr_House_Value_ACSMOE_12_16
09005310801,09,Connecticut,005,Litchfield County,310801,1137,1121,72,1015,1008,88,122,113,80,484,480,118,531,528,99,402,77,679,156,40,54,0,12,47,47,20,28,33,43,0,12,134200,14055,67124500,14414080
09005310803,09,Connecticut,005,Litchfield County,310803,2248,2276,93,2054,1908,194,194,368,174,872,914,223,1182,994,146,952,173,1019,237,274,120,0,12,21,39,176,105,29,33,0,12,166300,15959,159144900,28840949
09005310804,09,Connecticut,005,Litchfield County,310804,1163,1135,64,1096,1092,63,67,43,48,349,282,71,747,810,83,734,86,318,97,83,60,0,12,13,26,0,12,0,12,0,12,170800,15463,154226100,25303522
09005320100,09,Connecticut,005,Litchfield County,320100,3124,3073,205,2807,2639,159,317,434,191,1325,1353,233,1482,1286,240,1242,225,1392,277,375,153,64,50,40,53,56,69,0,17,0,17,150700,12840,209397000,41594497
09005320200,09,Connecticut,005,Litchfield County,320200,2489,2517,167,2008,2089,166,481,428,150,474,542,179,1534,1547,199,1976,225,423,164,118,88,0,12,9,20,18,24,40,62,0,12,188900,10991,336596000,60466014
09005342100,09,Connecticut,005,Litchfield County,342100,1575,1547,102,1411,1277,87,164,270,80,212,222,75,1199,1055,102,1416,109,116,53,7,17,8,14,0,12,9,19,64,51,0,12,351200,22837,540594400,192013149
09005349100,09,Connecticut,005,Litchfield County,349100,1995,1959,110,1927,1870,98,68,89,74,302,264,77,1625,1606,104,1618,144,290,87,34,23,17,20,12,18,11,21,0,12,0,12,208900,20323,352010700,33771472
09005349200,09,Connecticut,005,Litchfield County,349200,1281,1216,71,1181,1157,82,100,59,55,443,411,87,738,746,85,745,89,337,95,126,82,8,12,0,12,0,12,27,41,0,12,200000,17022,153804500,21153232
09005360100,09,Connecticut,005,Litchfield County,360100,2267,2123,122,2162,2034,125,105,89,100,506,498,133,1656,1536,158,1664,199,424,147,24,43,11,18,0,17,0,17,0,17,0,17,250000,21443,401944000,52318651
09005360200,09,Connecticut,005,Litchfield County,360200,2923,2861,121,2806,2681,140,117,180,103,210,223,104,2596,2458,143,2681,151,180,101,0,17,0,17,0,17,35,57,0,17,0,17,298600,18252,793793800,81242070
09005360300,09,Connecticut,005,Litchfield County,360300,1433,1412,61,1357,1320,91,76,92,75,471,478,99,886,842,90,876,95,393,123,143,86,0,12,51,59,0,12,0,12,0,12,203800,16576,168903400,22124790
09005360400,09,Connecticut,005,Litchfield County,360400,2473,2446,99,2347,2309,126,126,137,122,565,463,147,1782,1846,179,1996,204,435,166,15,30,0,17,0,17,14,28,0,17,0,17,192900,9624,369879100,42397370
09005362101,09,Connecticut,005,Litchfield County,362101,2122,2113,144,1945,1987,139,177,126,81,595,791,128,1350,1196,142,1258,139,604,142,251,93,0,12,14,20,9,19,46,50,0,12,301400,25943,391703700,58218874
09005362102,09,Connecticut,005,Litchfield County,362102,2442,2401,137,2269,2072,117,173,329,169,337,257,97,1932,1815,152,2223,206,87,79,75,59,0,17,16,29,15,29,0,17,0,17,349400,24015,688668100,122474163
09005425300,09,Connecticut,005,Litchfield County,425300,1686,1714,86,1597,1635,97,89,79,66,226,341,120,1371,1294,122,1276,155,295,118,86,55,57,32,0,12,0,12,14,22,0,12,196800,15795,272941000,37634212
09005425400,09,Connecticut,005,Litchfield County,425400,1891,1907,93,1807,1632,103,84,275,108,225,192,89,1582,1440,112,1771,118,85,61,20,24,31,48,24,25,19,23,0,12,0,12,196500,9480,291118400,25670147
09005425500,09,Connecticut,005,Litchfield County,425500,1532,1583,70,1399,1466,83,133,117,71,522,442,102,877,1024,112,1012,90,517,136,54,61,0,12,0,12,0,12,0,12,0,12,176200,10630,192125600,32404190
09005425600,09,Connecticut,005,Litchfield County,425600,1746,1705,60,1303,1190,80,443,515,67,389,273,50,914,917,77,1452,77,142,51,103,24,8,9,3,13,9,14,12,14,0,12,294500,21628,378652200,45735611
09007541100,09,Connecticut,007,Middlesex County,541100,1240,1286,56,1118,1063,111,122,223,99,792,766,115,326,297,79,234,79,952,165,100,46,0,12,86,67,14,17,39,38,0,12,152900,13205,44587900,13021565
09007541200,09,Connecticut,007,Middlesex County,541200,2381,2361,74,2297,2154,127,84,207,102,854,778,133,1443,1376,133,1441,147,520,159,400,128,0,17,31,53,15,29,17,27,0,17,254100,18553,347299800,46034421
09007541300,09,Connecticut,007,Middlesex County,541300,3562,3538,139,3317,3344,180,245,194,128,2124,2328,213,1193,1016,179,746,193,828,218,1948,318,16,26,0,17,16,32,0,17,0,17,123600,10255,147644000,29639950
09007541401,09,Connecticut,007,Middlesex County,541401,1216,1184,51,1195,1129,71,21,55,54,52,53,38,1143,1076,72,1151,64,25,25,8,16,0,12,0,12,0,12,0,12,9,13,272300,11128,294741600,24667921
09007541402,09,Connecticut,007,Middlesex County,541402,2663,2675,76,2490,2523,125,173,152,102,1324,1261,145,1166,1262,148,1363,145,528,173,774,187,10,15,69,44,40,47,17,29,0,17,265100,23719,344661800,42573743
09007541500,09,Connecticut,007,Middlesex County,541500,755,745,40,699,659,54,56,86,46,436,340,55,263,319,49,305,55,279,72,161,46,0,12,0,12,57,29,0,12,0,12,175700,35967,63619400,10756748
09007541600,09,Connecticut,007,Middlesex County,541600,872,895,53,738,711,66,134,184,65,672,638,70,66,73,37,27,21,539,108,329,93,0,12,30,28,16,18,29,32,0,12,139100,19802,10375000,4822604
09007541700,09,Connecticut,007,Middlesex County,541700,1608,1674,73,1491,1341,137,117,333,129,956,899,159,535,442,109,383,109,744,160,547,138,0,12,18,24,68,45,60,59,0,12,172600,28126,72395000,19178409
09007542000,09,Connecticut,007,Middlesex County,542000,2012,2006,64,1896,1800,105,116,206,90,558,569,105,1338,1231,133,1367,152,503,134,124,57,12,18,9,18,87,67,0,12,0,12,194600,8461,250894300,31217904
09007542100,09,Connecticut,007,Middlesex County,542100,1509,1459,59,1411,1418,68,98,41,32,577,598,104,834,820,96,902,109,328,109,229,95,0,12,54,52,27,30,28,34,0,12,219600,12642,183250400,27765209
09007542200,09,Connecticut,007,Middlesex County,542200,747,730,30,718,700,42,29,30,30,49,44,23,669,656,45,610,60,104,48,16,22,0,12,0,12,4,13,3,6,0,12,233000,13335,198115000,68568880
09007550100,09,Connecticut,007,Middlesex County,550100,2652,2593,132,2376,2265,154,276,328,175,359,455,178,2017,1810,195,2180,220,294,135,59,50,60,71,0,17,23,29,0,17,0,17,263700,26264,514805400,101731382
09007550201,09,Connecticut,007,Middlesex County,550201,1508,1527,86,1449,1464,85,59,63,45,155,48,32,1294,1416,90,1442,88,85,63,0,12,0,12,42,35,6,16,23,36,0,12,257900,19233,370743700,28394117
09007550202,09,Connecticut,007,Middlesex County,550202,1325,1349,60,1235,1222,88,90,127,74,230,246,76,1005,976,107,1170,97,155,72,24,42,0,12,15,20,13,20,0,12,0,12,253600,19990,267863900,44800839
09007560100,09,Connecticut,007,Middlesex County,560100,2411,2499,113,2269,2423,116,142,76,82,229,63,54,2040,2360,117,2359,123,126,89,14,28,0,17,0,17,0,17,0,17,0,17,277400,35933,676419500,61899431
09007560200,09,Connecticut,007,Middlesex County,560200,1666,1731,82,1553,1525,100,113,206,102,508,440,97,1045,1085,109,1273,120,412,121,46,34,0,12,0,12,22,23,51,54,0,12,217100,9418,227273800,27229567
09007570100,09,Connecticut,007,Middlesex County,570100,2137,2203,104,2059,1944,145,78,259,146,268,309,115,1791,1635,142,1325,173,452,164,426,154,0,12,25,41,64,52,92,101,10,16,197000,18820,394933800,42421540
09007570200,09,Connecticut,007,Middlesex County,570200,1298,1281,68,1265,1254,76,33,27,36,104,81,60,1161,1173,92,1173,90,108,54,0,12,0,12,0,12,21,23,0,12,0,12,261300,16991,316299100,33778804
09007570300,09,Connecticut,007,Middlesex County,570300,2566,2567,136,2428,2433,142,138,134,128,769,746,172,1659,1687,129,1840,148,377,162,350,122,0,17,25,44,0,17,0,17,0,17,277100,16097,606365000,133044174
09007580100,09,Connecticut,007,Middlesex County,580100,1863,1850,106,1742,1775,97,121,75,65,270,188,80,1472,1587,115,1729,110,62,44,36,38,23,37,0,12,28,26,31,46,0,12,304100,24708,504097700,49413504
09007585100,09,Connecticut,007,Middlesex County,585100,2694,2837,208,2610,2650,181,84,187,129,207,208,108,2403,2442,184,2634,239,203,124,0,17,0,17,9,23,22,30,0,17,0,17,345400,16596,929060500,137927095
09007590100,09,Connecticut,007,Middlesex County,590100,3504,3559,196,3218,3223,168,286,336,141,408,432,146,2810,2791,188,3248,221,236,135,75,65,0,17,27,41,0,17,14,23,0,17,297300,17142,986922200,153174217
09007595101,09,Connecticut,007,Middlesex County,595101,1898,1976,90,1430,1448,124,468,528,128,145,211,108,1285,1237,135,1890,112,74,64,0,12,12,18,29,32,10,20,8,14,0,12,325900,42941,469703600,83167496
09007595102,09,Connecticut,007,Middlesex County,595102,2610,2557,136,2163,2093,156,447,464,161,382,354,126,1781,1739,186,2243,165,248,99,66,60,0,17,11,25,10,24,35,55,0,17,262100,13560,500718500,78402058
09007600100,09,Connecticut,007,Middlesex County,600100,1923,2147,141,1714,1853,122,209,294,106,502,523,130,1212,1330,116,1616,155,286,103,245,93,0,12,0,12,18,24,0,12,11,18,354300,23714,522288400,59966026
09007610100,09,Connecticut,007,Middlesex County,610100,1109,1097,58,952,980,77,157,117,53,263,270,65,689,710,75,780,81,168,65,49,35,100,43,9,18,4,14,0,12,0,12,291800,20191,203477000,26242411
09007610200,09,Connecticut,007,Middlesex County,610200,2083,2093,88,1587,1599,114,496,494,132,432,546,115,1155,1053,129,1572,136,365,99,113,75,43,25,21,26,10,18,42,44,8,12,295100,30830,774095600,482247665
09007610300,09,Connecticut,007,Middlesex County,610300,1619,1629,84,1557,1556,94,62,73,59,185,230,80,1372,1326,100,1397,108,80,54,63,53,89,42,0,12,36,28,0,12,0,12,277500,12227,395019700,45390679
09007610400,09,Connecticut,007,Middlesex County,610400,1254,1272,60,1207,1159,80,47,113,70,85,110,64,1122,1049,88,1233,71,29,31,0,12,10,15,0,12,30,48,0,12,0,12,289200,18182,361720300,117078259
09007620100,09,Connecticut,007,Middlesex County,620100,2096,2094,115,1940,1902,104,156,192,88,452,390,99,1488,1512,125,1665,139,251,82,159,75,0,12,9,19,39,30,8,13,8,13,275100,12946,476337700,63522839
09007630100,09,Connecticut,007,Middlesex County,630100,3261,3285,220,2916,2961,166,345,324,174,599,732,188,2317,2229,183,2526,250,604,232,155,88,0,17,0,17,41,47,0,17,0,17,363600,22637,1022496000,152938766
09007640100,09,Connecticut,007,Middlesex County,640100,2598,2652,130,2474,2479,103,124,173,105,122,103,62,2352,2376,127,2297,155,57,44,0,17,298,102,0,17,30,35,48,57,0,17,372800,23098,859236500,65120396
09007670100,09,Connecticut,007,Middlesex County,670100,2420,2407,106,1809,1870,126,611,537,95,173,229,85,1636,1641,137,2288,112,97,67,9,19,0,12,59,58,20,25,28,26,8,12,360300,15402,653768800,72205406
09007670200,09,Connecticut,007,Middlesex County,670200,3182,3243,143,2438,2331,184,744,912,200,433,499,171,2005,1832,182,2879,205,359,176,0,17,5,8,19,33,0,17,5,8,13,20,389600,27236,932770400,129328196
09007680100,09,Connecticut,007,Middlesex County,680100,3937,3733,227,2948,2839,163,989,894,193,766,590,174,2182,2249,208,3044,259,470,190,0,17,219,78,0,17,77,79,0,17,15,24,374000,34380,1053519400,206088826
09007680200,09,Connecticut,007,Middlesex County,680200,2658,2543,99,2493,2377,133,165,166,124,786,648,174,1707,1729,138,1954,145,321,157,268,111,0,17,0,17,32,38,0,17,0,17,290500,23345,483991900,45790218
09007990100,09,Connecticut,007,Middlesex County,990100,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,
09009120100,09,Connecticut,009,New Haven County,120100,2940,2740,209,2768,2478,194,172,262,121,625,743,170,2143,1735,198,1845,255,668,217,184,104,43,70,67,51,54,42,0,17,0,17,191200,13727,385393000,58391592
09009120200,09,Connecticut,009,New Haven County,120200,2909,2739,185,2620,2471,184,289,268,133,1543,1479,216,1077,992,187,895,207,1493,290,351,141,0,17,168,100,41,38,0,17,0,17,213900,23159,229202000,62038696
09009125100,09,Connecticut,009,New Haven County,125100,1757,1598,88,1706,1524,97,51,74,64,132,165,79,1574,1359,122,1523,108,75,49,0,12,0,12,24,40,17,22,0,12,0,12,231400,7423,313183000,38979120
09009125200,09,Connecticut,009,New Haven County,125200,2605,2444,134,2309,2329,161,296,115,115,1251,1168,246,1058,1161,240,939,231,1168,275,337,170,0,17,89,88,21,25,52,84,0,17,218400,14689,255399100,58201063
