GIDTR,State,State_name,County,County_name,Tract,Tot_Housing_Units_CEN_2010,Tot_Housing_Units_ACS_12_16,Tot_Housing_Units_ACSMOE_12_16,Tot_Occp_Units_CEN_2010,Tot_Occp_Units_ACS_12_16,Tot_Occp_Units_ACSMOE_12_16,Tot_Vacant_Units_CEN_2010,Tot_Vacant_Units_ACS_12_16,Tot_Vacant_Units_ACSMOE_12_16,Renter_Occp_HU_CEN_2010,Renter_Occp_HU_ACS_12_16,Renter_Occp_HU_ACSMOE_12_16,Owner_Occp_HU_CEN_2010,Owner_Occp_HU_ACS_12_16,Owner_Occp_HU_ACSMOE_12_16,Single_Unit_ACS_12_16,Single_Unit_ACSMOE_12_16,MLT_U2_9_STRC_ACS_12_16,MLT_U2_9_STRC_ACSMOE_12_16,MLT_U10p_ACS_12_16,MLT_U10p_ACSMOE_12_16,Mobile_Homes_ACS_12_16,Mobile_Homes_ACSMOE_12_16,Crowd_Occp_U_ACS_12_16,Crowd_Occp_U_ACSMOE_12_16,Occp_U_NO_PH_SRVC_ACS_12_16,Occp_U_NO_PH_SRVC_ACSMOE_12_16,No_Plumb_ACS_12_16,No_Plumb_ACSMOE_12_16,Recent_Built_HU_ACS_12_16,Recent_Built_HU_ACSMOE_12_16,Med_House_Value_ACS_12_16,Med_House_Value_ACSMOE_12_16,Aggr_House_Value_ACS_12_16,Aggr_House_Value_ACSMOE_12_16
09009190303,09,Connecticut,009,New Haven County,190303,1354,1333,40,1269,1238,61,85,95,51,112,147,83,1157,1091,103,1177,95,107,58,49,47,0,12,14,24,8,17,0,12,0,12,364000,24790,397717900,45050222
09009194100,09,Connecticut,009,New Haven County,194100,3228,3174,139,2343,2251,147,885,923,164,548,437,120,1795,1814,164,2831,188,249,140,94,53,0,17,0,17,17,30,0,17,0,17,571900,49357,1209815900,209789051
09009194201,09,Connecticut,009,New Haven County,194201,2827,2808,115,2737,2657,128,90,151,110,276,269,110,2461,2388,138,2612,135,196,90,0,17,0,17,34,39,11,26,0,17,0,17,400600,26352,1026322100,93396679
09009194202,09,Connecticut,009,New Haven County,194202,1994,1991,81,1891,1883,106,103,108,61,121,153,81,1770,1730,135,1896,100,95,57,0,17,0,17,0,17,22,29,0,17,0,17,425200,15596,753389500,58887672
09009341100,09,Connecticut,009,New Haven County,341100,2509,2678,142,2360,2404,133,149,274,136,445,350,126,1915,2054,125,1889,217,429,173,144,88,216,88,28,35,73,60,35,57,0,17,231800,19691,482354200,49401572
09009343101,09,Connecticut,009,New Haven County,343101,1347,1436,54,1309,1396,70,38,40,51,115,131,64,1194,1265,83,1341,78,61,52,21,28,13,21,11,24,6,20,0,17,11,17,351400,12997,481263000,50860283
09009343102,09,Connecticut,009,New Haven County,343102,1523,1517,81,1458,1483,88,65,34,41,374,386,78,1084,1097,96,1081,110,308,108,128,63,0,12,0,12,9,18,0,12,0,12,329000,22746,360299100,32025565
09009343200,09,Connecticut,009,New Haven County,343200,2306,2365,90,2230,2168,124,76,197,112,259,180,92,1971,1988,134,1997,139,301,115,67,49,0,17,23,38,0,17,53,88,0,17,300300,18427,579014700,49333953
09009343300,09,Connecticut,009,New Haven County,343300,2805,2780,156,2665,2642,161,140,138,119,412,286,103,2253,2356,183,2294,185,130,90,356,130,0,17,0,17,12,25,48,75,14,22,344900,15643,870684000,91398635
09009343400,09,Connecticut,009,New Haven County,343400,2443,2525,94,2379,2356,104,64,169,85,180,198,118,2199,2158,147,2191,163,285,136,49,52,0,17,9,22,14,29,60,66,0,17,330200,20860,749258300,69993182
09009344100,09,Connecticut,009,New Haven County,344100,1839,1865,81,1776,1760,80,63,105,75,229,199,69,1547,1561,84,1663,97,137,74,57,28,8,12,0,12,5,14,40,52,0,12,324200,18821,505968300,41007686
09009344200,09,Connecticut,009,New Haven County,344200,1053,1033,60,972,930,69,81,103,54,70,94,45,902,836,70,1033,66,0,12,0,12,0,12,0,12,4,14,19,18,0,12,426800,23478,372872800,45018944
09009345100,09,Connecticut,009,New Haven County,345100,2932,2891,123,2716,2715,158,216,176,118,958,1172,205,1758,1543,232,1585,216,949,242,263,108,94,69,0,17,75,53,47,57,0,17,188200,20057,298368000,45806713
09009345201,09,Connecticut,009,New Haven County,345201,2708,2645,130,2561,2396,178,147,249,132,753,505,144,1808,1891,178,2039,159,476,145,130,81,0,17,14,30,10,25,84,92,0,17,178800,9943,342436400,40467224
09009345202,09,Connecticut,009,New Haven County,345202,1618,1626,55,1566,1548,70,52,78,64,97,133,65,1469,1415,92,1387,95,80,61,41,26,118,31,37,33,0,12,28,45,0,12,177400,11194,271588000,42704792
09009345300,09,Connecticut,009,New Haven County,345300,2795,2679,125,2612,2552,153,183,127,112,1347,1344,241,1265,1208,209,1074,215,1422,322,149,100,34,55,123,91,0,17,68,106,0,17,175000,11037,279889000,137448818
09009345400,09,Connecticut,009,New Haven County,345400,3008,2967,123,2884,2699,177,124,268,163,808,858,177,2076,1841,186,1886,189,704,201,321,172,56,41,0,17,114,78,0,17,0,17,176300,15821,388435000,97402105
09009346101,09,Connecticut,009,New Haven County,346101,2598,2589,111,2439,2472,119,159,117,100,172,303,144,2267,2169,169,2575,138,14,29,0,17,0,17,0,17,0,17,102,98,0,17,344300,12478,719962600,70260303
09009346102,09,Connecticut,009,New Haven County,346102,2148,2031,105,2065,1918,109,83,113,95,201,240,97,1864,1678,126,1890,109,99,79,42,41,0,17,0,17,26,35,0,17,0,17,350000,19091,650855000,114894885
09009347100,09,Connecticut,009,New Haven County,347100,2063,2081,121,1999,2005,119,64,76,84,136,180,110,1863,1825,152,1765,144,94,70,0,17,222,100,0,17,47,45,32,51,32,51,295600,22311,495852600,49094891
09009347200,09,Connecticut,009,New Haven County,347200,1411,1328,77,1358,1283,70,53,45,52,119,200,84,1239,1083,101,1182,93,146,86,0,12,0,12,21,26,0,12,0,12,0,12,294900,13736,319124000,31347574
09009348111,09,Connecticut,009,New Haven County,348111,975,933,39,903,845,56,72,88,51,127,89,35,776,756,59,891,69,42,30,0,12,0,12,18,30,10,11,5,8,0,12,354500,21286,292572200,40520928
09009348122,09,Connecticut,009,New Haven County,348122,1510,1421,78,1435,1359,79,75,62,58,128,95,52,1307,1264,80,1365,85,35,25,21,35,0,12,0,12,7,17,21,33,0,12,416800,18671,516932000,41234822
09009348123,09,Connecticut,009,New Haven County,348123,2123,1966,93,2010,1794,113,113,172,107,174,101,89,1836,1693,125,1846,120,86,83,0,17,34,54,12,25,28,37,16,26,0,17,377100,27776,683119600,77014317
09009348124,09,Connecticut,009,New Haven County,348124,1594,1499,63,1350,1455,67,244,44,31,362,358,70,988,1097,95,688,107,512,117,291,69,8,14,0,12,9,18,0,12,0,12,174900,24708,229539300,29826436
09009348125,09,Connecticut,009,New Haven County,348125,2889,2710,111,2515,2329,132,374,381,149,387,367,105,2128,1962,129,1591,207,958,223,161,94,0,12,18,30,10,21,90,96,0,12,189400,39767,473650100,47299931
09009350100,09,Connecticut,009,New Haven County,350100,2823,2522,129,2469,2151,164,354,371,145,2397,2133,167,72,18,22,110,62,536,177,1876,229,0,12,15,24,225,105,169,96,0,12,,,,
09009350200,09,Connecticut,009,New Haven County,350200,1463,1517,69,1168,1138,103,295,379,87,896,865,126,272,273,87,342,96,1008,151,167,59,0,12,91,67,114,70,168,70,0,12,104600,51547,37101000,17168575
09009350300,09,Connecticut,009,New Haven County,350300,893,907,35,630,624,69,263,283,60,469,490,74,161,134,46,111,43,755,102,30,35,0,12,76,49,63,40,133,53,0,12,91700,65410,20471500,10337832
09009350400,09,Connecticut,009,New Haven County,350400,1191,1206,44,798,842,78,393,364,74,628,727,89,170,115,40,105,42,1016,89,77,42,8,12,49,33,77,49,231,58,0,12,111200,24667,12345000,4702528
09009350500,09,Connecticut,009,New Haven County,350500,1062,1026,48,866,786,76,196,240,62,698,623,75,168,163,46,112,44,845,114,69,42,0,12,54,43,63,32,46,33,0,12,112700,11393,20051000,6814407
09009350800,09,Connecticut,009,New Haven County,350800,2455,2411,78,1850,1865,147,605,546,136,1348,1393,165,502,472,97,540,114,1498,260,373,134,0,17,133,84,127,80,218,104,0,17,150200,15740,93825000,29734468
09009350900,09,Connecticut,009,New Haven County,350900,708,698,27,644,614,40,64,84,36,160,181,55,484,433,52,541,63,137,49,20,25,0,12,11,18,3,13,9,13,0,12,134400,7958,58880500,8411882
09009351000,09,Connecticut,009,New Haven County,351000,1466,1453,63,1321,1340,88,145,113,74,477,540,120,844,800,110,879,123,534,150,40,36,0,12,16,26,37,38,34,38,0,12,121400,12044,101010600,15249163
09009351100,09,Connecticut,009,New Haven County,351100,1908,1854,76,1705,1705,110,203,149,92,1050,1135,135,655,570,102,573,121,531,156,750,176,0,12,81,81,84,67,48,53,29,46,102300,18124,69388000,25076241
09009351200,09,Connecticut,009,New Haven County,351200,1544,1575,62,1334,1368,116,210,207,108,930,960,140,404,408,101,383,120,874,182,318,110,0,12,15,21,56,51,25,39,0,12,83800,29360,39403500,14222594
09009351300,09,Connecticut,009,New Haven County,351300,2315,2241,102,2119,2039,150,196,202,128,1039,1179,208,1080,860,160,794,143,955,271,492,189,0,17,59,52,0,17,122,100,0,17,112200,10047,99123500,23247276
09009351400,09,Connecticut,009,New Haven County,351400,1669,1651,64,1466,1402,126,203,249,112,989,804,149,477,598,129,460,116,1136,174,55,53,0,12,51,42,41,59,19,31,0,12,108000,7789,61425700,13974799
09009351500,09,Connecticut,009,New Haven County,351500,1985,1914,85,1845,1775,113,140,139,87,694,779,139,1151,996,122,1041,118,837,192,36,29,0,17,41,38,47,53,0,17,0,17,117600,11938,122760000,19545208
09009351601,09,Connecticut,009,New Haven County,351601,1544,1443,54,1401,1367,79,143,76,60,727,724,106,674,643,88,608,91,829,151,6,16,0,12,39,53,65,47,0,12,0,12,126800,14725,98303800,24148542
09009351602,09,Connecticut,009,New Haven County,351602,3003,2851,91,2773,2454,174,230,397,193,871,735,174,1902,1719,198,1794,196,737,220,277,151,43,70,64,61,28,37,49,77,0,17,126900,10068,249313300,49976532
09009351700,09,Connecticut,009,New Haven County,351700,1376,1389,40,1042,984,105,334,405,96,884,867,106,158,117,49,107,52,1041,140,222,76,0,12,36,32,15,20,138,63,0,12,113000,9899,13682000,6105483
09009351800,09,Connecticut,009,New Haven County,351800,2090,1997,65,1927,1654,131,163,343,130,810,741,158,1117,913,122,860,122,571,149,557,129,9,13,27,27,38,34,10,16,0,12,143300,9972,137572800,23807361
09009351900,09,Connecticut,009,New Haven County,351900,869,861,45,808,739,64,61,122,56,155,169,50,653,570,63,545,61,205,75,111,49,0,12,6,15,8,15,3,5,0,12,179900,13073,169921200,69323599
09009352000,09,Connecticut,009,New Haven County,352000,1902,1806,49,1820,1692,80,82,114,70,283,333,91,1537,1359,100,1579,96,212,86,7,17,8,13,0,12,25,22,9,14,0,12,167400,6198,261189500,35548606
09009352100,09,Connecticut,009,New Haven County,352100,1741,1716,64,1617,1498,87,124,218,86,597,586,95,1020,912,118,976,133,562,143,178,74,0,12,85,49,27,27,0,12,0,12,125700,15832,114861500,19811770
09009352200,09,Connecticut,009,New Haven County,352200,950,955,34,913,816,75,37,139,67,677,530,75,236,286,63,244,51,503,91,208,66,0,12,19,20,37,27,0,12,0,12,92100,7554,25768000,5908722
09009352300,09,Connecticut,009,New Haven County,352300,1260,1230,55,1140,1138,88,120,92,76,690,695,107,450,443,70,460,105,630,143,140,48,0,12,32,38,24,28,64,52,0,12,128500,14837,67640000,21301779
09009352400,09,Connecticut,009,New Haven County,352400,1260,1249,34,1208,1054,86,52,195,91,484,456,99,724,598,88,792,148,410,133,47,36,0,12,35,32,20,27,0,12,0,12,138400,14790,87720200,19413946
09009352500,09,Connecticut,009,New Haven County,352500,1318,1258,66,1237,1078,93,81,180,80,456,487,99,781,591,81,656,93,406,121,196,67,0,12,16,21,37,36,20,32,0,12,120600,11770,76295000,11874653
09009352600,09,Connecticut,009,New Haven County,352600,2349,2238,58,2195,1869,175,154,369,172,917,777,168,1278,1092,173,1123,170,776,181,287,154,52,63,17,32,10,24,70,78,0,17,136500,15105,154797300,29022547
09009352701,09,Connecticut,009,New Haven County,352701,1644,1571,47,1568,1383,99,76,188,105,1043,957,107,525,426,92,313,75,611,155,639,141,8,12,36,49,47,32,26,38,0,12,109300,11994,45406800,11774861
09009352702,09,Connecticut,009,New Haven County,352702,2471,2414,59,2313,1972,186,158,442,200,916,1012,211,1397,960,183,1399,223,633,188,382,164,0,17,29,44,86,67,166,129,0,17,135700,11390,130130600,26091384
09009352800,09,Connecticut,009,New Haven County,352800,2732,2572,69,2584,2388,135,148,184,118,1395,1490,188,1189,898,167,1127,167,979,235,466,182,0,17,74,84,40,52,0,17,0,17,147700,15778,124855600,26750699
09009361100,09,Connecticut,009,New Haven County,361100,2482,2371,121,2368,2285,123,114,86,92,343,347,114,2025,1938,152,2044,169,301,138,26,34,0,17,0,17,0,17,48,74,0,17,257600,23843,566499500,86646361
09009361200,09,Connecticut,009,New Haven County,361200,2159,2086,108,2089,1993,122,70,93,104,298,275,103,1791,1718,143,1821,144,145,95,120,81,0,17,37,43,36,43,0,17,0,17,229000,12049,388411500,47334765
09009361300,09,Connecticut,009,New Haven County,361300,1635,1613,67,1550,1566,73,85,47,53,127,166,72,1423,1400,86,1557,77,56,49,0,12,0,12,10,20,10,19,10,16,21,32,250200,16512,370907800,35549878
09009361401,09,Connecticut,009,New Haven County,361401,1697,1574,58,1597,1369,97,100,205,87,1467,1191,107,130,178,47,33,36,369,107,1172,121,0,12,0,12,61,45,0,12,0,12,114000,25046,,
09009361402,09,Connecticut,009,New Haven County,361402,188,158,48,165,114,40,23,44,29,160,114,40,5,0,12,38,32,73,32,47,37,0,12,0,12,0,12,0,12,0,12,,,,
09009361500,09,Connecticut,009,New Haven County,361500,2058,2071,103,1921,1868,113,137,203,93,1075,1051,148,846,817,146,928,173,751,185,366,101,26,35,42,45,38,33,0,17,0,17,150700,16641,129272800,29488547
09009990000,09,Connecticut,009,New Haven County,990000,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,
09011650100,09,Connecticut,011,New London County,650100,1223,1195,56,1033,1066,58,190,129,60,157,175,59,876,891,80,1166,67,29,32,0,12,0,12,3,13,0,12,0,12,0,12,497300,78307,653351700,107836383
09011660101,09,Connecticut,011,New London County,660101,1689,1681,94,1453,1463,104,236,218,100,193,290,95,1260,1173,105,1562,95,119,69,0,12,0,12,10,20,13,23,0,12,0,12,434100,32040,557778700,77220409
09011660102,09,Connecticut,011,New London County,660102,3332,3263,124,1719,1728,113,1613,1535,144,267,271,92,1452,1457,116,2910,137,265,104,64,39,24,38,7,16,8,18,33,39,0,12,391300,19769,601839600,61117482
09011690300,09,Connecticut,011,New London County,690300,2762,2925,166,2436,2504,204,326,421,158,1522,1727,211,914,777,148,1136,218,1190,250,599,176,0,17,42,46,109,76,31,49,0,17,178800,9258,125070100,26208675
09011690400,09,Connecticut,011,New London County,690400,829,885,69,695,781,80,134,104,45,394,357,85,301,424,81,311,69,555,109,19,27,0,12,26,31,6,15,14,19,0,12,146400,13432,104659000,68348110
09011690500,09,Connecticut,011,New London County,690500,1680,1714,127,1390,1535,141,290,179,91,1209,1364,160,181,171,70,211,82,911,202,564,134,0,12,26,25,37,41,16,17,0,12,162900,41740,29919000,12930451
09011690700,09,Connecticut,011,New London County,690700,584,610,44,503,484,84,81,126,79,319,355,81,184,129,65,123,72,460,122,27,20,0,12,0,12,10,17,70,74,0,12,178300,31346,20932800,11933236
09011690800,09,Connecticut,011,New London County,690800,1431,1440,107,1245,1274,127,186,166,93,653,807,137,592,467,116,476,106,808,199,156,66,0,12,69,75,9,18,0,12,0,12,175600,12638,112110600,55511391
09011690900,09,Connecticut,011,New London County,690900,2754,2661,136,2433,2358,181,321,303,156,989,1003,212,1444,1355,210,1409,202,434,169,818,206,0,12,36,47,48,53,0,12,0,12,217900,20800,311899500,54080743
09011693300,09,Connecticut,011,New London County,693300,2689,2698,80,2474,2258,141,215,440,154,433,317,131,2041,1941,158,2440,142,152,99,91,62,0,17,25,41,71,55,86,94,0,17,260700,18919,608022300,74574906
09011693400,09,Connecticut,011,New London County,693400,1927,1948,93,1815,1836,99,112,112,71,421,405,94,1394,1431,92,1495,116,256,75,122,48,75,47,0,12,61,41,8,12,0,12,216000,15594,314887200,34173066
09011693500,09,Connecticut,011,New London County,693500,1557,1589,61,1393,1418,91,164,171,62,182,196,74,1211,1222,91,1589,66,0,12,0,12,0,12,0,12,7,18,24,39,0,12,331300,26108,446640600,48343992
09011693600,09,Connecticut,011,New London County,693600,1230,1240,49,1142,1151,65,88,89,55,186,193,66,956,958,84,1135,58,76,56,29,42,0,12,13,22,8,18,0,12,0,12,238600,16685,248992000,29669215
09011693700,09,Connecticut,011,New London County,693700,1231,1260,53,1181,1150,78,50,110,69,86,106,43,1095,1044,82,1242,63,18,22,0,12,0,12,22,26,0,12,28,41,0,12,245400,12952,255017400,23492037
09011695201,09,Connecticut,011,New London County,695201,2258,2207,122,2105,2005,124,153,202,117,441,310,120,1664,1695,148,1676,164,263,132,17,30,251,114,0,12,18,32,17,27,0,12,185900,9243,434456000,133168455
09011695202,09,Connecticut,011,New London County,695202,2397,2443,132,2283,2285,169,114,158,103,322,307,128,1961,1978,156,2238,154,67,47,64,69,74,78,11,24,14,29,0,17,0,17,212800,9717,422901700,48185764
09011696100,09,Connecticut,011,New London County,696100,2267,2216,133,2061,1943,164,206,273,159,927,856,182,1134,1087,181,1120,203,715,215,59,47,322,130,5,22,30,35,50,77,0,12,148600,42088,172703500,33423082
09011696200,09,Connecticut,011,New London County,696200,2237,2367,99,2087,2080,160,150,287,143,584,569,159,1503,1511,154,1639,197,409,158,319,150,0,12,59,68,26,43,36,58,0,12,186000,7806,378126100,158745564
09011696300,09,Connecticut,011,New London County,696300,1176,1092,64,1109,987,86,67,105,77,191,195,81,918,792,85,930,90,139,81,23,24,0,12,14,26,8,18,29,47,0,12,250900,23510,215243200,40338861
09011696400,09,Connecticut,011,New London County,696400,2670,2660,130,2309,2171,197,361,489,173,1255,1155,195,1054,1016,161,739,195,1211,257,275,139,435,124,100,73,26,34,182,104,0,17,104800,24698,118826500,29242084
09011696500,09,Connecticut,011,New London County,696500,1556,1504,93,1380,1321,130,176,183,99,728,724,133,652,597,95,656,117,620,166,228,76,0,12,11,18,59,53,87,80,0,12,176600,14231,127736000,24876745
09011696600,09,Connecticut,011,New London County,696600,1561,1544,79,1488,1353,112,73,191,92,289,312,89,1199,1041,114,1367,92,172,68,5,15,0,12,24,29,16,25,108,73,0,12,170200,11040,184133800,24974994
09011696700,09,Connecticut,011,New London County,696700,2832,2920,117,2473,2525,179,359,395,164,1498,1564,223,975,961,163,1231,223,951,274,738,205,0,17,66,67,88,65,199,141,0,17,171800,28983,167294000,38982758
09011696800,09,Connecticut,011,New London County,696800,1957,1947,106,1604,1554,150,353,393,122,1219,1233,158,385,321,90,377,114,1233,209,337,110,0,12,42,34,34,26,171,68,0,12,127700,27728,42738000,12972432
09011697000,09,Connecticut,011,New London County,697000,2403,2453,123,2088,2083,214,315,370,195,1294,1305,224,794,778,189,884,197,946,221,581,180,42,67,48,68,49,41,124,84,0,17,163400,10329,124506500,33433509
09011700100,09,Connecticut,011,New London County,700100,2019,1912,115,1869,1808,109,150,104,73,292,281,85,1577,1527,127,1803,131,85,65,9,19,15,17,27,33,24,31,27,24,14,20,249500,21588,375843400,36300207
09011701100,09,Connecticut,011,New London County,701100,3089,3298,162,2874,3009,155,215,289,154,488,597,155,2386,2412,165,2915,210,341,165,0,17,42,64,41,42,34,43,0,17,0,17,238100,14505,571475200,46285613
09011701200,09,Connecticut,011,New London County,701200,2890,2986,141,2759,2776,165,131,210,129,389,509,137,2370,2267,174,2510,179,230,132,26,49,220,122,0,17,32,43,17,27,0,17,247700,13228,559318900,63528362
09011702100,09,Connecticut,011,New London County,702100,1906,1889,63,1806,1813,89,100,76,64,277,321,83,1529,1492,103,1701,81,80,39,77,33,31,27,45,33,33,26,23,37,0,12,240600,14226,378107200,34621389
09011702300,09,Connecticut,011,New London County,702300,798,826,47,729,777,59,69,49,39,415,526,59,314,251,31,624,94,176,75,26,18,0,12,22,31,35,21,0,12,0,12,217200,12561,54147000,8464505
09011702400,09,Connecticut,011,New London County,702400,1888,1922,110,1659,1691,143,229,231,119,808,879,161,851,812,122,822,125,727,186,373,149,0,12,46,48,0,12,33,53,0,12,191300,21673,157444200,25141518
09011702500,09,Connecticut,011,New London County,702500,2245,2284,140,2029,2059,140,216,225,133,1545,1627,157,484,432,119,362,113,1530,293,392,173,0,12,0,12,83,64,0,12,0,12,173000,20163,76410100,26008298
09011702600,09,Connecticut,011,New London County,702600,,575,35,,494,49,,81,36,,55,31,,439,40,568,38,4,14,3,13,0,12,0,12,0,12,0,12,5,7,300800,32860,175243100,27064733
09011702600,09,Connecticut,011,New London County,702600,575,,,494,,,81,,,58,,,436,,,,,,,,,,,,,,,,,,,,,,
09011702700,09,Connecticut,011,New London County,702700,2945,3065,129,2597,2793,189,348,272,162,1717,2064,225,880,729,119,460,102,530,173,1692,279,383,87,30,34,24,28,0,17,0,17,129500,22046,90357100,17984128
09011702800,09,Connecticut,011,New London County,702800,1680,1714,81,1559,1576,94,121,138,77,560,720,136,999,856,116,1265,160,389,118,10,20,50,33,84,55,14,22,0,12,0,12,218000,19170,181638000,26322472
09011702900,09,Connecticut,011,New London County,702900,1657,1577,48,1157,1105,78,500,472,76,286,288,67,871,817,86,1325,96,149,67,76,42,27,36,0,12,11,13,5,8,0,12,525200,57586,471938900,56019639
09011703000,09,Connecticut,011,New London County,703000,1931,1900,54,1728,1708,104,203,192,97,458,433,98,1270,1275,105,1447,98,211,96,137,64,105,61,70,69,24,23,0,12,0,12,391800,21622,539141800,52289776
09011705101,09,Connecticut,011,New London County,705101,1945,1957,67,1769,1675,108,176,282,102,490,421,97,1279,1254,86,1531,108,414,116,12,22,0,12,7,16,42,36,0,12,23,36,277100,16137,377522100,37300888
09011705102,09,Connecticut,011,New London County,705102,2040,2052,82,1880,1817,109,160,235,108,739,741,112,1141,1076,126,1213,120,676,151,163,68,0,12,10,19,52,35,0,12,7,13,243900,24198,269980600,34534421
09011705200,09,Connecticut,011,New London County,705200,2182,2196,71,1670,1679,118,512,517,123,454,510,90,1216,1169,97,1672,110,440,88,75,33,9,14,0,12,21,13,45,50,9,13,447500,42359,859475100,162753055
09011705300,09,Connecticut,011,New London County,705300,2032,1958,95,1626,1585,120,406,373,99,502,402,111,1124,1183,104,1377,115,333,104,239,66,0,12,10,19,12,22,44,46,0,12,383600,34122,615753700,114282834
09011705400,09,Connecticut,011,New London County,705400,1268,1277,78,1170,1122,91,98,155,76,139,154,69,1031,968,101,990,86,77,59,0,12,210,55,5,14,14,24,0,12,0,12,308000,39109,348733700,107360435
09011707100,09,Connecticut,011,New London County,707100,2306,2225,203,2052,1989,154,254,236,119,244,308,118,1808,1681,181,2106,248,52,45,10,23,57,57,15,29,28,33,19,28,0,17,290000,16489,679222800,195879895
09011708100,09,Connecticut,011,New London County,708100,1127,1070,60,1002,971,57,125,99,40,149,81,38,853,890,64,1016,62,43,28,11,16,0,12,6,14,12,16,25,22,0,12,229100,15224,213493000,21538626
09011709100,09,Connecticut,011,New London County,709100,2538,2456,206,2316,2304,197,222,152,128,204,246,134,2112,2058,196,2188,206,163,137,0,17,105,57,35,43,16,31,50,79,0,17,227000,16455,485607800,51342054
09011709200,09,Connecticut,011,New London County,709200,2580,2400,197,2330,2150,184,250,250,121,1068,1041,195,1262,1109,184,1158,199,915,215,230,81,97,76,36,57,100,63,109,87,13,22,153100,16785,190115500,36628741
09011710100,09,Connecticut,011,New London County,710100,1730,1633,94,1659,1554,82,71,79,67,201,232,85,1458,1322,98,1474,108,76,38,3,14,80,33,26,28,0,12,27,32,0,12,220900,15327,286814300,23159108
09011711100,09,Connecticut,011,New London County,711100,1248,1213,83,1135,1137,77,113,76,44,354,389,71,781,748,80,934,105,262,66,8,15,9,14,11,19,0,12,32,28,14,15,227700,26860,207705200,36939344
09011712100,09,Connecticut,011,New London County,712100,771,780,47,729,721,45,42,59,31,81,86,24,648,635,38,741,47,18,19,21,14,0,12,9,16,16,11,32,22,0,12,239900,9884,164602400,17290271
09011713100,09,Connecticut,011,New London County,713100,1059,1089,80,1007,1005,64,52,84,39,172,131,43,835,874,71,1010,89,63,37,16,20,0,12,0,12,17,22,9,12,0,12,232900,14034,215550600,19507669
09011714101,09,Connecticut,011,New London County,714101,1481,1472,64,1397,1253,99,84,219,97,536,479,109,861,774,92,986,114,429,131,57,43,0,12,29,47,19,24,0,12,0,12,195700,10919,158490800,21853202
09011714103,09,Connecticut,011,New London County,714103,2687,2784,115,2597,2641,132,90,143,101,287,328,129,2310,2313,165,2532,137,145,97,65,59,42,39,25,34,37,48,0,17,14,23,289900,14371,720163000,80166658
09011714104,09,Connecticut,011,New London County,714104,2014,2108,88,1921,1924,110,93,184,82,414,547,113,1507,1377,120,1557,129,446,118,43,33,62,29,16,22,45,47,10,14,0,12,274800,10675,376630000,40450809
09011715100,09,Connecticut,011,New London County,715100,1635,1692,105,1525,1544,100,110,148,66,152,84,50,1373,1460,100,1579,116,61,45,42,51,10,15,29,47,10,21,29,45,0,12,268700,14101,402476000,35812526
09011716101,09,Connecticut,011,New London County,716101,1714,1745,71,1641,1678,81,73,67,48,228,340,80,1413,1338,107,1481,105,97,44,167,58,0,17,9,22,60,42,8,12,0,17,254300,16294,371958700,39523238
09011716102,09,Connecticut,011,New London County,716102,1931,1967,88,1860,1900,98,71,67,58,231,275,80,1629,1625,116,1802,98,36,40,129,62,0,17,0,17,5,19,0,17,12,18,336700,19210,580047500,55201500
09011870100,09,Connecticut,011,New London County,870100,3125,3105,166,2644,2682,139,481,423,185,306,343,129,2338,2339,160,2925,215,148,125,15,30,17,28,15,31,21,38,111,119,0,17,255500,15725,637316400,77933373
09011870200,09,Connecticut,011,New London County,870200,2351,2379,97,2049,2035,157,302,344,168,1530,1617,142,519,418,97,1145,221,1034,245,200,95,0,17,0,17,16,31,16,26,0,17,213400,15460,82585000,18483337
09011870300,09,Connecticut,011,New London County,870300,1800,1819,137,1671,1664,155,129,155,100,1379,1409,132,292,255,71,352,93,799,161,668,151,0,17,65,58,9,23,0,17,0,17,147200,13169,42492000,12055111
09011870501,09,Connecticut,011,New London County,870501,1787,1841,91,1668,1594,107,119,247,101,410,361,105,1258,1233,114,1393,132,287,109,140,73,21,21,25,29,48,32,72,72,0,12,174600,11973,308510500,134365278
09011870502,09,Connecticut,011,New London County,870502,965,989,63,886,866,71,79,123,52,256,170,51,630,696,66,730,72,142,58,30,20,87,41,15,18,22,16,21,26,0,12,182700,17545,135776900,18961093
09011870701,09,Connecticut,011,New London County,870701,1072,1065,43,962,948,73,110,117,59,236,192,53,726,756,57,852,65,118,54,90,51,5,7,8,16,18,14,0,12,0,12,304200,17142,263772500,35759975
09011870703,09,Connecticut,011,New London County,870703,1057,1049,39,790,840,70,267,209,55,151,169,44,639,671,73,993,50,49,35,7,15,0,12,0,12,17,13,4,6,0,12,323700,27199,232824000,34693286
09011870704,09,Connecticut,011,New London County,870704,2684,2682,89,1939,1964,157,745,718,173,572,576,141,1367,1388,153,2138,152,298,127,246,89,0,12,10,21,27,35,0,12,0,12,301200,25448,520934500,89586680
09011980000,09,Connecticut,011,New London County,980000,,13,10,,6,9,,7,11,,6,9,,0,12,13,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,
09011980000,09,Connecticut,011,New London County,980000,10,,,3,,,7,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,
